Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,PlayerAdditional
119,Brandon Lowe,29,TBR,AL,1.9,72,282,250,36,62,14,2,14,44,5,0,27,70,.248,.330,.488,.818,131,.358,132,122,7,4,0,1,1,4D/H3,0,lowebr01
120,MJ Melendez,25,KCR,AL,0.0,99,342,315,34,64,18,2,14,37,3,3,24,84,.203,.264,.406,.670,82,.286,77,128,2,2,0,0,1,7/H9D3,0,melenmj01
121,Luis Robert Jr.,26,CHW,AL,0.7,66,276,255,30,54,12,0,14,31,17,2,21,100,.212,.272,.424,.695,93,.313,91,108,5,0,0,0,2,8/DH,0,roberlu01
122,Jose Siri,28,TBR,AL,1.4,102,361,320,40,63,14,0,14,38,12,7,27,132,.197,.269,.372,.641,82,.280,80,119,5,6,2,4,0,8/H3D,0,sirijo01
123,George Springer,34,TOR,AL,0.8,113,469,416,58,91,16,2,14,46,13,0,48,90,.219,.301,.368,.669,89,.309,93,153,16,2,0,2,0,9D/H8,0,springe01
124,Fernando Tatis Jr.,25,SDP,NL,1.9,80,345,308,50,86,14,1,14,36,8,3,30,71,.279,.354,.468,.821,130,.358,130,144,6,6,0,1,0,9/D,AS,tatisfe02
125,Andrew Vaughn,26,CHW,AL,0.1,112,465,427,47,103,27,0,14,52,2,0,30,102,.241,.297,.403,.700,96,.306,94,172,12,5,0,3,0,3D/H,0,vaughan01
126,Matt Vierling,27,DET,AL,1.7,108,428,400,59,103,21,5,14,46,4,1,22,93,.258,.297,.440,.737,103,.320,101,176,6,2,0,4,0,859H/7D,0,vierlma01
127,Cody Bellinger,28,CHC,NL,1.6,93,404,366,49,101,16,1,13,48,6,2,31,66,.276,.334,.432,.766,112,.333,110,158,7,3,0,4,5,8D93/7,0,bellico01
128,Andrew Benintendi,29,CHW,AL,-1.7,100,382,355,34,77,15,0,13,41,2,2,24,70,.217,.267,.369,.636,78,.273,72,131,10,1,0,2,1,7/HD8,0,beninan01
129,Alec Bohm,27,PHI,NL,3.3,120,514,466,54,138,43,2,13,84,5,2,36,71,.296,.350,.481,.831,132,.362,133,224,14,6,0,6,2,53/DH,AS,bohmal01
130,Lawrence Butler,23,OAK,AL,1.2,88,295,267,37,64,14,2,13,38,10,0,26,78,.240,.305,.453,.758,115,.335,113,121,6,0,0,2,0,9H/8,0,butlela01
131,Carlos Correa,29,MIN,AL,3.4,75,317,279,51,86,16,2,13,47,0,0,30,53,.308,.377,.520,.896,148,.390,152,145,5,3,0,4,2,6/H,AS,correca01
132,Travis d'Arnaud,35,ATL,NL,1.3,79,259,234,32,59,14,0,13,40,1,0,17,60,.252,.309,.479,.788,114,.339,112,112,6,4,0,4,0,2H,0,darnatr01
133,Jarred Kelenic,24,ATL,NL,1.0,108,389,358,42,85,17,2,13,37,6,2,27,116,.237,.291,.405,.696,91,.310,91,145,4,1,1,2,0,78/H9,0,kelenja01
134,Steven Kwan,26,CLE,AL,3.5,96,422,384,70,123,14,3,13,36,9,4,33,36,.320,.379,.474,.853,138,.373,140,182,5,3,2,0,0,7/DH,AS,kwanst01
135,Ryan Mountcastle,27,BAL,AL,2.2,112,462,430,51,117,27,2,13,61,3,0,26,100,.272,.312,.435,.747,113,.327,114,187,13,1,0,5,0,3/HD,0,mountry01
136,Cedric Mullins,29,BAL,AL,1.3,112,370,334,51,75,14,3,13,41,21,5,25,78,.225,.283,.401,.684,95,.305,95,134,1,3,2,2,0,8H/D,0,mullice01
137,Ceddanne Rafaela,23,BOS,AL,2.1,119,453,427,62,112,16,4,13,58,17,7,15,111,.262,.295,.410,.705,92,.316,95,175,6,6,2,3,1,86/45H,0,rafaece01
138,Trea Turner,31,PHI,NL,2.4,81,366,343,62,106,18,0,13,42,14,1,18,69,.309,.352,.475,.828,131,.370,133,163,4,5,0,0,0,6/D,AS,turnetr01
139,Nolan Arenado,33,STL,NL,1.6,115,480,436,50,117,17,0,12,54,2,1,34,66,.268,.324,.390,.713,98,.315,97,170,9,4,0,5,0,5/D,0,arenano01
140,Will Benson,26,CIN,NL,-0.9,104,331,293,34,57,17,2,12,37,14,6,33,131,.195,.279,.389,.668,83,.292,78,114,3,2,1,2,0,789H/D,0,bensowi01
141,Mookie Betts,31,LAD,NL,4.2,77,351,303,54,94,17,3,12,44,10,1,47,41,.310,.405,.505,.910,156,.399,157,153,5,1,0,0,0,64/9H,AS,bettsmo01
